SIC,Demand,Consumption
01,12076,9887.288146
02,484,433.4119782
03,308,386.8368421
05,884,391.7465599
06 & 07,16536,9011.330504
08,801,1135.191694
09,3699,1473.014965
10.1,4861,8544.497213
10.2-3,4960,4009.364316
10.4,997,496.1374914
10.5,2748,5036.180863
10.6,3378,3320.94723
10.7,3161,4024.621969
10.8,6835,6295.088623
10.9,2549,2207.719381
11.01-6,4374,3826.784719
11.07,941,2565.765699
12,4,409.0657439
13,2012,1450.718386
14,43,1039.234048
15,505,397.3835111
16,5281,2507.837566
17,7919,4272.53804
18,4867,3183.768527
19,8872,5756.602115
20A,764,1331.136357
20B,5349,5698.962271
20C,443,737.2863971
20.3,2255,1026.624221
20.4,1901,3137.244435
20.5,253,1579.077226
21,1416,5772.633529
22,11782,5707.338002
23OTHER,4791,2691.317619
23.5-6,6067,3384.408277
24.1-3,5176,4095.658806
24.4-5,2860,1985.666254
25OTHER,17394,8737.927653
25.4,1250,1621.764987
26,6098,8712.034963
27,5436,4191.631959
28,2849,8505.622629
29,7447,19151.16749
30.1,133,1244.597601
30.3,555,5576.458087
30OTHER,150,1305.7387
31,1368,3381.161831
32,3008,3558.424172
33.15,802,298.4374309
33.16,3267,1855.450499
33OTHER,10843,5015.116947
35.1,37812,35740.40337
35.2-3,16408,19027.79105
36,1231,1723.206897
37,1758,1935.179468
38,3375,5544.18071
39,52,129.6722973
41-43,86827,101398.8072
45,23580,14668.56792
46,31498,52224.38733
47,0,43800.53327
49.1-2,447,5618.478223
49.3-5,25814,16611.3263
50,2846,7421.733275
51,263,5948.991117
52,30284,18089.3721
53,13750,5299.376572
55,275,8302.3135
56,2134,24402.08293
58,3785,6002.148863
59-60,1770,7443.265271
61,17966,12027.80529
62,34828,18416.97477
63,5724,2251.429443
64,50574,43538.53171
65.1-3,12122,26819.39785
66,9262,10785.14022
68.1-2,16828,29615.4248
68.3,194,2866.126206
69.1,16276,7196.162669
69.2,12311,2872.753001
70,30499,12924.22211
71,25576,16566.24054
72,2632,4270.675664
73,19728,11431.87032
74,5337,5713.596324
75,304,688.9709302
77,17227,7914.683626
78,23738,10430.70655
79,12855,6251.370013
80,4325,1737.577705
81,10119,5368.900373
82,10855,10627.89569
84,13299,6564
85,10182,4479.496992
86,792,3393.889547
87-88,6270,11908.63268
90,138,2197.660108
91,992,1741.272235
92,1904,2554.578408
93,408,3566.621114
94,3649,671.7922464
95,558,1390.292592
96,2592,4242.526109
