SIC,01,02,03,05,06 & 07,08,09,10.1,10.2-3,10.4,10.5,10.6,10.7,10.8,10.9,11.01-6,11.07,12,13,14,15,16,17,18,19,20.3,20.4,20.5,20A,20B,20C,21,22,23.5-6,23OTHER,24.1-3,24.4-5,25.4,25OTHER,26,27,28,29,30.1,30.3,30OTHER,31,32,33.15,33.16,33OTHER,35.1,35.2-3,36,37,38,39,"41, 42 & 43",45,46,47,49.1-2,49.3-5,50,51,52,53,55,56,58,59 & 60,61,62,63,64,65.1-2 & 65.3,66,68.1-2,68.3,69.1,69.2,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87 & 88,90,91,92,93,94,95,96
01,3166,101,0,0,0,0,0,3841,936,0,3478,1206,43,1053,671,109,0,241,4,0,0,0,0,0,0,0,0,2,2,12,0,25,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,134,19,174,163,0,0,45,0,0,0,269,652,0,14,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,44,33,36,1,0,9,4,2,0,0
02,0,442,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,0,0,111,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,29,0,0,0,61,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,0,0,0,50,0,1,0,1,1,0,1,1,0,33,1,0,0,0,0,0,0,0,11,0,30,0,0,0,0,0,4,0,0,42,0,0,2,0,13,0,1,0,1,0,0,0,0,0,0,0,0,3122,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
06 & 07,0,0,0,0,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21776,0,0,64,14,0,249,0,0,0,1,357,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18339,11412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08,0,0,0,0,0,673,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,44,0,12,378,48,3,0,0,597,365,0,37,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,2,0,0,1961,0,143,20,7,0,0,0,59,0,11,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,1,6,0,4,0,0,0,1,0,5,4,5,0,2
09,0,0,0,0,3692,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1,7,1,2,0,3,1,0,3127,1,9,1,5,24,380,120,3,1,1,2,3,88,1,2,1,6,1,1,2,1,2,1,5,2,1,7,35,1,2,0,63,1,7,7,0,6,0,1,1,0,1,1,7,2,1,0,7,0,6,7,82,366,3,7,2,4,9,9,265,560,2,10,10,10,1,29,11,0,0,0,3,2,3,9,2,8,3,1,1,10,1,2,5,85,95,149,245,112,1,2,0,39,1,1,1
10.2-3,20,0,3,0,12,2,2,63,787,0,195,95,286,300,135,77,112,1,3,6,0,3,3,3,13,1,1,6,3,4,1,7,7,2,8,39,3,2,0,9,3,11,12,2,10,1,2,1,0,1,2,20,6,0,1,9,0,13,20,288,1086,12,29,23,18,58,42,513,1332,6,40,42,24,2,106,14,0,0,0,11,2,13,17,7,23,17,3,1,42,11,5,20,36,55,178,137,183,4,6,34,23,13,1,1
10.4,3,0,0,0,2,0,0,123,106,475,17,46,167,113,278,0,0,0,0,0,0,0,0,0,20,47,23,15,5,23,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,5,18,124,0,1,9,3,5,32,38,107,1,3,1,2,0,15,4,0,0,0,3,3,17,2,4,2,10,0,0,21,1,1,9,14,3,57,27,446,1,0,4,3,3,0,4
10.5,11,0,0,0,10,1,2,36,43,5,821,19,278,361,11,1,1,0,2,2,0,2,2,1,5,1,1,1,1,4,1,5,3,2,2,30,2,2,0,2,2,4,8,2,8,1,2,1,0,1,1,7,4,0,0,7,0,5,6,164,472,6,7,7,8,16,19,132,319,2,12,20,10,1,39,9,10,0,1,4,2,8,8,2,9,8,1,1,21,2,3,7,16,0,93,52,82,1,4,10,6,5,1,0
10.6,4,0,2,0,0,0,0,352,81,0,19,790,1003,216,887,441,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,119,0,1,0,0,0,0,56,145,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,84,29,17,1,0,7,3,0,0,0
10.7,8,0,0,0,7,1,2,4,1,0,4,4,63,4,0,1,3,0,1,2,0,1,2,1,4,1,1,1,0,1,0,3,3,1,0,37,2,0,0,3,1,1,8,0,2,0,2,1,0,0,1,8,2,1,1,5,0,4,5,548,1037,7,6,10,8,9,19,305,789,2,11,13,8,1,37,12,9,0,0,3,5,7,7,2,7,7,1,1,19,2,3,9,15,2,85,87,154,1,2,6,6,3,1,0
10.8,21,0,3,0,22,0,2,237,257,0,124,288,629,2343,155,130,660,0,3,2,0,2,5,5,7,4,3,7,6,0,0,22,6,57,18,18,14,0,0,7,3,8,15,0,0,0,2,3,0,0,0,22,8,3,2,11,0,123,21,306,1000,12,20,19,18,50,39,316,842,5,47,49,22,2,104,16,20,0,0,9,9,27,25,6,16,18,4,2,57,10,5,23,45,5,153,213,313,7,5,32,26,16,1,1
10.9,2761,0,100,0,0,0,0,95,0,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,54,24,5,0,73,0,0,0
11.01-6,0,0,0,0,0,0,0,0,0,0,0,25,0,17,70,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,161,299,8,0,20,17,48,18,3750,12091,0,53,18,0,0,61,6,8,0,0,9,11,23,2,7,21,12,0,0,41,12,5,14,31,0,7,0,73,10,6,51,40,114,0,7
11.07,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,43,56,9,3,2,9,47,26,93,360,0,106,15,2,0,59,6,6,0,1,9,3,15,1,3,8,11,0,0,24,4,1,11,21,8,53,2,67,15,6,43,72,28,0,2
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0
13,124,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,1213,37,0,37,1,0,0,10,18,0,0,0,0,81,18,0,0,0,0,2,1,0,0,326,0,14,0,214,30,0,1,0,0,0,0,0,0,0,213,102,169,307,2,8,2,7,10,19,31,71,1,15,6,6,2,36,13,0,1,1,8,2,4,2,9,7,3,1,6,10,2,0,24,5,34,82,206,60,4,2,12,22,7,0,50
14,0,4,1,0,20,0,2,0,0,0,0,0,4,2,0,0,0,0,3,65,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,23,6,20,17,1,4,0,3,4,8,10,33,0,14,5,5,1,19,6,4,0,1,4,1,2,3,4,3,3,1,2,6,1,5,21,4,462,84,214,71,1,1,6,10,5,0,21
15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,98,0,91,2,0,0,0,0,0,0,2,0,0,27,372,98,144,4,15,0,4,4,14,36,102,0,36,18,5,1,15,4,7,1,0,1,1,7,3,10,7,6,1,2,16,1,6,15,13,229,80,2,69,4,2,14,14,12,0,35
16,29,5,0,9,11,6,2,18,0,0,11,1,3,8,3,16,12,2,10,0,0,2203,73,1,0,8,0,0,2,39,0,4,17,81,0,4,7,9,123,19,26,38,196,85,14,0,595,34,16,1,6,8,0,0,1,6,0,3783,16,50,67,4,3,2,0,18,8,22,56,3,18,14,11,1,7,41,13,1,3,14,5,12,10,6,8,4,0,9,16,2,1,56,12,13,179,3,32,4,2,14,7,9,0,3
17,421,1,2,1,0,4,0,316,318,16,123,552,342,722,91,235,119,301,96,58,23,107,3966,1972,12,8,294,155,17,16,32,110,537,129,176,12,17,7,146,90,106,115,61,4,41,5,89,51,2,4,17,72,5,21,14,45,1,398,86,840,352,3,95,0,8,63,35,60,154,1050,34,36,175,2,394,329,150,88,3,64,32,64,129,21,204,22,8,18,61,4,5,88,46,1012,374,710,209,4,22,23,44,13,3,63
18,11,5,0,1,0,1,0,5,1,2,1,1,3,8,1,4,1,2,3,2,0,1,8,812,5,3,3,5,1,13,1,23,7,0,8,0,4,0,8,0,7,15,13,2,14,1,3,5,0,1,4,17,4,0,0,27,0,19,91,245,125,1,15,2,1,91,6,5,9,1250,20,115,35,1,701,613,110,94,1,129,5,14,17,1,20,11,2,1,9,123,6,40,8,932,1034,793,107,21,64,4,185,10,1,10
19,1573,110,269,141,323,120,58,132,53,7,134,41,183,168,88,99,48,2,25,56,7,151,133,40,3433,16,49,151,260,737,95,63,252,235,94,930,68,5,172,85,194,327,114,21,131,19,114,56,6,10,48,691,127,90,76,71,9,1145,615,2100,1805,263,3959,419,2431,245,411,426,949,28,144,580,315,57,710,126,191,41,4,76,121,86,326,169,125,106,8,173,176,111,26,59,148,1546,629,282,418,31,18,81,91,98,17,110
