SIC,Total intermediate consumption,Total intermediate demand
"Products of agriculture, hunting and related services         ",9887.288146,12076
"Products of forestry, logging and related services         ",433.4119782,484
Fish and other fishing products; aquaculture products; support services to fishing     ,386.8368421,308
Coal and lignite             ,391.7465599,884
Crude petroleum and natural gas & Metal ores       ,9011.330504,16536
Other mining and quarrying products           ,1135.191694,801
Mining support services             ,1473.014965,3699
Preserved meat and meat products           ,8544.497213,4861
"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",4009.364316,4960
Vegetable and animal oils and fats          ,496.1374914,997
Dairy products              ,5036.180863,2748
"Grain mill products, starches and starch products         ",3320.94723,3378
Bakery and farinaceous products            ,4024.621969,3161
Other food products             ,6295.088623,6835
Prepared animal feeds             ,2207.719381,2549
Alcoholic beverages              ,3826.784719,4374
Soft drinks              ,2565.765699,941
Tobacco products              ,409.0657439,4
Textiles               ,1450.718386,2012
Wearing apparel              ,1039.234048,43
Leather and related products            ,397.3835111,505
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",2507.837566,5281
Paper and paper products            ,4272.53804,7919
Printing and recording services            ,3183.768527,4867
Coke and refined petroleum products           ,5756.602115,8872
"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",1331.136357,764
Petrochemicals - 20.14/16/17/60             ,5698.962271,5349
"Dyestuffs, agro-chemicals - 20.12/20            ",737.2863971,443
"Paints, varnishes and similar coatings, printing ink and mastics       ",1026.624221,2255
"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",3137.244435,1901
Other chemical products             ,1579.077226,253
Basic pharmaceutical products and pharmaceutical preparations          ,5772.633529,1416
Rubber and plastic products            ,5707.338002,11782
"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ",2691.317619,4791
"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster ",3384.408277,6067
Basic iron and steel            ,4095.658806,5176
Other basic metals and casting           ,1985.666254,2860
"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ",8737.927653,17394
Weapons and ammunition             ,1621.764987,1250
"Computer, electronic and optical products           ",8712.034963,6098
Electrical equipment              ,4191.631959,5436
Machinery and equipment n.e.c.            ,8505.622629,2849
"Motor vehicles, trailers and semi-trailers           ",19151.16749,7447
Ships and boats             ,1244.597601,133
Air and spacecraft and related machinery          ,5576.458087,555
Other transport equipment - 30.2/4/9           ,1305.7387,150
Furniture               ,3381.161831,1368
Other manufactured goods             ,3558.424172,3008
Repair and maintenance of ships and boats         ,298.4374309,802
Repair and maintenance of aircraft and spacecraft         ,1855.450499,3267
Rest of repair; Installation - 33.11-14/17/19/20          ,5015.116947,10843
"Electricity, transmission and distribution",35740.40337,37812
Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,19027.79105,16408
Natural water; water treatment and supply services         ,1723.206897,1231
Sewerage services; sewage sludge            ,1935.179468,1758
"Waste collection, treatment and disposal services; materials recovery services       ",5544.18071,3375
Remediation services and other waste management services         ,129.6722973,52
Construction,101398.8072,86827
Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,14668.56792,23580
"Wholesale trade services, except of motor vehicles and motorcycles       ",52224.38733,31498
"Retail trade services, except of motor vehicles and motorcycles       ",43800.53327,0
Rail transport services             ,5618.478223,447
"Land transport services and transport services via pipelines, excluding rail transport     ",16611.3263,25814
Water transport services             ,7421.733275,2846
Air transport services             ,5948.991117,263
Warehousing and support services for transportation          ,18089.3721,30284
Postal and courier services            ,5299.376572,13750
Accommodation services              ,8302.3135,275
Food and beverage serving services           ,24402.08293,2134
Publishing services              ,6002.148863,3785
"Motion picture, video and TV programme production services, sound recording & music publishing  & programming and broadcasting services",7443.265271,1770
Telecommunications services              ,12027.80529,17966
"Computer programming, consultancy and related services          ",18416.97477,34828
Information services              ,2251.429443,5724
"Financial services, except insurance and pension funding         ",43538.53171,50574
"Insurance, reinsurance and pension funding services, except compulsory social security & Pensions",26819.39785,12122
Services auxiliary to financial services and insurance services        ,10785.14022,9262
"Real estate services, excluding on a fee or contract basis and imputed rent   ",29615.4248,16828
Owner-Occupiers' Housing Services,2866.126206,194
Real estate services on a fee or contract basis       ,7196.162669,16276
Legal services              ,2872.753001,12311
"Accounting, bookkeeping and auditing services; tax consulting services        ",12924.22211,30499
Services of head offices; management consulting services         ,16566.24054,25576
Architectural and engineering services; technical testing and analysis services       ,4270.675664,2632
Scientific research and development services           ,11431.87032,19728
Advertising and market research services           ,5713.596324,5337
"Other professional, scientific and technical services          ",688.9709302,304
Veterinary services              ,7914.683626,17227
Rental and leasing services            ,10430.70655,23738
Employment services              ,6251.370013,12855
"Travel agency, tour operator and other reservation services and related services     ",1737.577705,4325
Security and investigation services            ,5368.900373,10119
Services to buildings and landscape           ,10627.89569,10855
"Office administrative, office support and other business support services       ",6564,13299
Public administration and defence services; compulsory social security services       ,4479.496992,10182
Education services              ,3393.889547,792
Human health services             ,11908.63268,6270
Social care services,2197.660108,138
"Creative, arts and entertainment services           ",1741.272235,992
"Libraries, archives, museums and other cultural services         ",2554.578408,1904
Gambling and betting services            ,3566.621114,408
Sports services and amusement and recreation services         ,671.7922464,3649
Services furnished by membership organisations           ,1390.292592,558
Repair services of computers and personal and household goods       ,4242.526109,2592
Other personal services             ,0,3295
