SIC,Total intermediate consumption,Total intermediate demand
01,9887.288146,12140
02,433.4119782,484
03,386.8368421,308
05,391.7465599,888
06 & 07,9011.330504,16536
08,1135.191694,802
09,1473.014965,3699
10.1,8544.497213,5359
10.2-3,4009.364316,5302
10.4,496.1374914,1071
10.5,5036.180863,2863
10.6,3320.94723,3471
10.7,4024.621969,3333
10.8,6295.088623,7247
10.9,2207.719381,2557
11.01-6,3826.784719,4389
11.07,2565.765699,1016
12,409.0657439,5
13,1450.718386,2155
14,1039.234048,179
15,397.3835111,569
16,2507.837566,5419
17,4272.53804,8902
18,3183.768527,7541
19,5756.602115,9128
20A,1331.136357,788
20B,5698.962271,5367
20C,737.2863971,476
20.3,1026.624221,2394
20.4,3137.244435,2182
20.5,1579.077226,261
21,5772.633529,3251
22,5707.338002,12128
23OTHER,2691.317619,4942
23.5-6,3384.408277,6497
24.1-3,4095.658806,5177
24.4-5,1985.666254,2861
25OTHER,8737.927653,17550
25.4,1621.764987,3119
26,8712.034963,6541
27,4191.631959,5704
28,8505.622629,2862
29,19151.16749,7641
30.1,1244.597601,818
30.3,5576.458087,1064
30OTHER,1305.7387,259
31,3381.161831,2250
32,3558.424172,3060
33.15,298.4374309,802
33.16,1855.450499,3269
33OTHER,5015.116947,10863
35.1,35740.40337,40285
35.2-3,19027.79105,17502
36,1723.206897,1707
37,1935.179468,2169
38,5544.18071,6568
39,129.6722973,293
41-43,101398.8072,98521
45,14668.56792,24827
46,52224.38733,35324
47,43800.53327,0
49.1-2,5618.478223,1587
49.3-5,16611.3263,28398
50,7421.733275,2865
51,5948.991117,272
52,18089.3721,30456
53,5299.376572,15370
55,8302.3135,316
56,24402.08293,3536
58,6002.148863,4984
59-60,7443.265271,2394
61,12027.80529,20786
62,18416.97477,36920
63,2251.429443,5797
64,43538.53171,86915
65.1-3,26819.39785,13740
66,10785.14022,9299
68.1-2,29615.4248,21205
68.2IMP,42491,0
68.3,2866.126206,239
69.1,7196.162669,20340
69.2,2872.753001,12994
70,12924.22211,31988
71,16566.24054,28429
72,4270.675664,4240
73,11431.87032,21417
74,5713.596324,6346
75,688.9709302,319
77,7914.683626,18840
78,10430.70655,27073
79,6251.370013,13065
80,1737.577705,5660
81,5368.900373,12316
82,10627.89569,11557
84,6564,13586
85,4479.496992,22336
86,3393.889547,10911
87-88,11908.63268,22340
90,2197.660108,205
91,1741.272235,1288
92,2554.578408,2322
93,3566.621114,655
94,671.7922464,4637
95,1390.292592,1888
96,4242.526109,3295
97,0,0
