"","SICto","SICfrom","value"
"1","1","1",2082.49967
"2","2","1",1.448275862
"8","10.1","1",5.69715275
"9","10.2-3","1",17.07512431
"10","10.4","1",1.897236035
"11","10.5","1",9.486180173
"12","10.6","1",3.794472069
"13","10.7","1",6.640326121
"14","10.8","1",15.17788828
"15","10.9","1",2114.469561
"17","11.07","1",17.07512431
"19","13","1",72.09496931
"22","16","1",21.83999298
"23","17","1",233.3654769
"24","18","1",9.507958757
"25","19","1",232.6836465
"26","20A","1",64.51691447
"27","20B","1",4.759424025
"28","20C","1",103.4211425
"29","20.3","1",25.61268647
"30","20.4","1",24.68584703
"31","20.5","1",0.954062663
"32","21","1",39.84195673
"33","22","1",90.12415629
"34","23OTHER","1",36.04748466
"35","23.5-6","1",68.30049724
"36","24.1-3","1",1.897236035
"37","24.4-5","1",48.37951888
"38","25OTHER","1",166.973105
"40","26","1",0.954062663
"41","27","1",26.56130448
"42","28","1",0.954062663
"43","29","1",0.954062663
"48","32","1",27.56436896
"50","33.16","1",2.845854052
"51","33OTHER","1",40.8450212
"52","35.1","1",337.7787946
"53","35.2-3","1",35.13697916
"54","36","1",55.97390767
"55","37","1",3.794472069
"56","38","1",6.640326121
"58","41-43","1",502.8655528
"59","45","1",736.4161477
"60","46","1",745.8261028
"62","49.1-2","1",1.908125327
"63","49.3-5","1",66.58837918
"64","50","1",1.897236035
"66","52","1",14.2456042
"67","53","1",29.42349247
"68","55","1",0.948618017
"69","56","1",8.537562156
"72","61","1",191.6480627
"75","64","1",1026.491809
"76","65.1-3","1",56.93341498
"78","68.1-2","1",60.71155311
"81","69.2","1",17.07512431
"82","70","1",6.640326121
"83","71","1",22.76683241
"84","72","1",16.12650629
"85","73","1",50.28219956
"86","74","1",2.845854052
"87","75","1",147.9844107
"88","77","1",64.58769487
"89","78","1",9.491624819
"90","79","1",15.17788828
"93","82","1",6.640326121
"94","84","1",11.41063944
"95","85","1",9.486180173
"101","93","1",0.948618017
"103","95","1",0.948618017
"105","1","2",33.73865699
"106","2","2",172.5862069
"112","10.1","2",0.648820327
"126","16","2",2.595281307
"127","17","2",0.648820327
"128","18","2",2.595281307
"129","19","2",32.44101633
"130","20A","2",1.297640653
"131","20B","2",1.94646098
"132","20C","2",2.595281307
"134","20.4","2",2.595281307
"135","20.5","2",0.648820327
"137","22","2",0.648820327
"142","25OTHER","2",1.94646098
"144","26","2",0.648820327
"146","28","2",0.648820327
"147","29","2",0.648820327
"150","30OTHER","2",1.94646098
"151","31","2",6.488203267
"152","32","2",6.488203267
"155","33OTHER","2",6.488203267
"156","35.1","2",8.434664247
"157","35.2-3","2",4.541742287
"158","36","2",0.648820327
"162","41-43","2",11.67876588
"163","45","2",34.38747731
"164","46","2",25.30399274
"166","49.1-2","2",1.297640653
"167","49.3-5","2",22.05989111
"170","52","2",1.94646098
"171","53","2",1.94646098
"174","58","2",5.190562613
"176","61","2",3.244101633
"177","62","2",0.648820327
"178","63","2",0.648820327
"179","64","2",10.38112523
"180","65.1-3","2",1.94646098
"189","73","2",0.648820327
"192","77","2",9.7323049
"193","78","2",0.648820327
"198","84","2",3.244101633
"206","94","2",3.89292196
"208","96","2",0.648820327
"211","3","3",25.98157895
"216","10.1","3",0.962280702
"217","10.2-3","3",1.924561404
"220","10.6","3",0.962280702
"222","10.8","3",2.886842105
"223","10.9","3",50.03859649
"227","13","3",3.849122807
"229","15","3",0.962280702
"231","17","3",0.962280702
"233","19","3",26.94385965
"234","20A","3",0.962280702
"241","22","3",12.50964912
"246","25OTHER","3",5.773684211
"252","30.1","3",3.849122807
"255","31","3",0.962280702
"256","32","3",1.924561404
"257","33.15","3",35.60438596
"259","33OTHER","3",5.773684211
"260","35.1","3",35.60438596
"261","35.2-3","3",19.24561404
"262","36","3",0.962280702
"263","37","3",1.924561404
"264","38","3",5.773684211
"266","41-43","3",34.64210526
"267","45","3",5.773684211
"268","46","3",19.24561404
"270","49.1-2","3",2.886842105
"272","50","3",4.811403509
"274","52","3",9.622807018
"280","61","3",4.811403509
"281","62","3",0.962280702
"283","64","3",17.32105263
"284","65.1-3","3",5.773684211
"288","69.1","3",0.962280702
"289","69.2","3",2.886842105
"293","73","3",0.962280702
"294","74","3",0.962280702
"296","77","3",3.849122807
"297","78","3",3.849122807
"298","79","3",3.849122807
"300","81","3",0.962280702
"301","82","3",1.924561404
"304","86","3",0.962280702
"312","96","3",13.47192982
"314","2","5",0.90204521
"316","5","5",17.13885899
"334","16","5",7.216553324
"335","17","5",0.90204521
"336","18","5",0.90204521
"337","19","5",74.87082015
"338","20A","5",0.902264232
"339","20B","5",4.51022605
"345","22","5",2.706163007
"346","23OTHER","5",2.706163007
"347","23.5-6","5",2.706245141
"348","24.1-3","5",0.902236854
"350","25OTHER","5",36.09407363
"352","26","5",10.8245699
"354","28","5",0.902072588
"355","29","5",9.922497309
"360","32","5",5.412271259
"363","33OTHER","5",27.96805573
"364","35.1","5",43.30098998
"365","35.2-3","5",15.34147612
"366","36","5",2.706354652
"370","41-43","5",12.65045301
"371","45","5",4.511375915
"372","46","5",19.84869062
"374","49.1-2","5",0.90412592
"375","49.3-5","5",12.62890672
"378","52","5",0.902483254
"379","53","5",0.903195076
"382","58","5",0.90204521
"384","61","5",1.804528464
"385","62","5",6.32127042
"387","64","5",19.86799193
"388","65.1-3","5",0.902921298
"389","66","5",0.90204521
"393","69.2","5",0.904399697
"394","70","5",0.902127343
"395","71","5",3.614450346
"396","72","5",1.805349797
"397","73","5",0.903003431
"400","77","5",30.67640895
"406","84","5",0.902401121
